date,day_nb,from,to,result,Max.Agg.Aggressor,Max.agg.victim,winner,loser,draw
2015-01-16,16,dori,carm,4,Facial threat,,0,0,FALSE
2015-01-19,19,bone,mori,4,Vocal threat,,0,0,FALSE
2015-02-04,35,carm,mori,4,Chase,,0,0,FALSE
2015-02-18,49,flo,ging,4,Physical contact,,0,0,FALSE
2015-03-03,62,lucy,sash,2,Vocal threat,Ignore,sash,lucy,FALSE
2015-03-03,62,schm,gimp,4,Vocal threat,,0,0,FALSE
2015-03-10,69,carm,flo,4,Vocal threat,,0,0,FALSE
2015-03-16,75,sash,coco,4,Submission only,,0,0,FALSE
2015-03-27,86,wokb,carm,4,Lunge,,0,0,FALSE
2015-03-27,86,dori,tyle,4,Vocal threat,,0,0,FALSE
2015-03-27,86,panc,ring,4,Displace,,0,0,FALSE
2015-03-30,89,coco,ocea,4,Lunge,,0,0,FALSE
2015-03-30,89,sash,mori,4,Vocal threat,,0,0,FALSE
2015-04-07,97,saff,coco,4,Physical contact,,0,0,FALSE
2015-04-09,99,carm,dori,4,Physical contact,,0,0,FALSE
2015-04-10,100,panc,fay,4,Facial threat,,0,0,FALSE
2015-04-13,103,carm,gizm,4,Facial threat,,0,0,FALSE
2015-04-16,106,flyn,coco,4,Charge,,0,0,FALSE
2015-04-16,106,scar,larr,4,Chase,,0,0,FALSE
2015-04-25,115,sash,fay,1,Displace,Submission only,sash,fay,FALSE
2015-05-05,125,lucy,phoe,4,,,0,0,FALSE
2015-05-13,133,fent,carm,4,Unknown,Unknown,0,0,FALSE
2015-05-18,138,phoe,wokb,4,Unknown,Unknown,0,0,FALSE
2015-05-19,139,tyle,panc,4,Facial threat,Facial threat,0,0,FALSE
2015-05-25,145,sash,ring,4,Facial threat,Facial threat,0,0,FALSE
2015-05-26,146,mori,ring,4,Supplant,Displace,0,0,FALSE
2015-05-27,147,scar,tyle,4,Facial threat,Charge,0,0,FALSE
2015-05-29,149,flyn,saff,4,Unknown,Facial threat,0,0,FALSE
2015-06-09,160,panc,flyn,4,Facial threat,Facial threat,0,0,FALSE
2015-06-09,160,raje,ring,2,Facial threat,Ignore,ring,raje,FALSE
2015-06-30,181,raje,ocea,4,Physical contact,Physical contact,0,0,FALSE
2015-06-30,181,mori,uthe,4,Physical contact,Chase,0,0,FALSE
2015-07-01,182,mori,uthe,2,Facial threat,Ignore,uthe,mori,FALSE
2015-07-07,188,flyn,tyle,4,Facial threat,Facial threat,0,0,FALSE
2015-07-30,211,coco,lore,4,Unknown,Unknown,0,0,FALSE
2015-08-04,216,sash,flyn,4,Submission only,Unknown,0,0,FALSE
2015-08-04,216,sash,gimp,4,Facial threat,Unknown,0,0,FALSE
2015-08-10,222,flyn,uthe,4,Charge,Charge,0,0,FALSE
2015-08-12,224,talu,gimp,4,Unknown,Unknown,0,0,FALSE
2015-08-26,238,panc,uthe,4,Unknown,Unknown,0,0,FALSE
2015-08-26,238,fay,gimp,4,Unknown,Unknown,0,0,FALSE
2015-08-26,238,talu,coco,4,Facial threat,Facial threat,0,0,FALSE
2015-08-28,240,gizm,talu,4,Chase,Chase,0,0,FALSE
2015-09-14,257,uthe,talu,4,Lunge,Charge,0,0,FALSE
2015-09-28,271,dori,ring,2,Facial threat,Ignore,ring,dori,FALSE
2015-10-22,295,phoe,cind,4,Physical contact,Physical contact,0,0,FALSE
2015-11-18,322,holl,gimp,4,Chase,Chase,0,0,FALSE
2015-11-18,322,wokb,oreo,4,Facial threat,Facial threat,0,0,FALSE
2015-11-18,322,ging,panc,4,Chase,Physical contact,0,0,FALSE
2015-11-20,324,saff,socr,4,Physical contact,Physical contact,0,0,FALSE
2015-12-11,345,phoe,flo,2,Facial threat,Ignore,flo,phoe,FALSE
2015-12-11,345,fina,pean,4,Lunge,Lunge,0,0,FALSE
2015-12-14,348,sash,lore,1,Facial threat,Stop behvaiour,sash,lore,FALSE
2015-12-23,357,spoc,ring,4,Facial threat,Facial threat,0,0,FALSE
2016-01-12,377,panc,ring,4,Physical contact,Physical contact,0,0,FALSE
2016-02-11,407,puck,cind,4,Physical contact,Physical contact,0,0,FALSE
2016-02-16,412,ging,panc,4,Facial threat,Facial threat,0,0,FALSE
2016-02-29,425,fay,flyn,4,Facial threat,Facial threat,0,0,FALSE
2016-03-01,426,tyle,mori,2,Vocal threat,Ignore,mori,tyle,FALSE
2016-03-01,426,mori,fent,4,Chase,Vocal threat,0,0,FALSE
2016-03-22,447,sash,panc,4,Facial threat,Facial threat,0,0,FALSE
2016-03-30,455,lucy,phoe,4,Physical contact,Physical contact,0,0,FALSE
2016-03-30,455,flo,ocea,4,Physical contact,Physical contact,0,0,FALSE
2016-04-14,470,socr,panc,4,Facial threat,Charge,0,0,FALSE
2016-04-14,470,flyn,mori,4,Unknown,Unknown,0,0,FALSE
2016-04-25,481,panc,flyn,4,Facial threat,Unknown,0,0,FALSE
2016-06-14,531,coco,swee,1,Charge,Submission only,coco,swee,FALSE
2016-07-12,559,oreo,dori,4,Physical contact,Physical contact,0,0,FALSE
2016-07-27,574,phoe,holl,4,Facial threat,Unknown,0,0,FALSE
2016-08-23,601,phoe,ocea,4,Lunge,Vocal threat,0,0,FALSE
2016-09-14,623,wolo,omni,4,Physical contact,Physical contact,0,0,FALSE
2016-09-23,632,socr,flyn,4,Facial threat,Facial threat,0,0,FALSE
2016-09-26,635,ocea,dori,4,Vocal threat,Unknown,0,0,FALSE
2016-12-15,715,gizm,dori,4,Physical contact,Physical contact,0,0,FALSE
2016-12-20,720,cact,oreo,2,Facial threat,Ignore,oreo,cact,FALSE
2017-01-12,743,panc,flyn,2,Vocal threat,Ignore,flyn,panc,FALSE
2017-02-07,769,fina,oreo,4,Chase,Facial threat,0,0,FALSE
2017-02-08,770,fent,panc,1,Lunge,Submission only,fent,panc,FALSE
2017-02-08,770,swee,sarg,4,Physical contact,Physical contact,0,0,FALSE
2017-02-09,771,lucy,funk,4,Lunge,Vocal threat,0,0,FALSE
2017-02-15,777,phoe,guge,4,Facial threat,Vocal threat,0,0,FALSE
2017-02-17,779,lucy,lore,4,Lunge,Facial threat,0,0,FALSE
2017-02-21,783,dori,egon,4,Physical contact,Physical contact,0,0,FALSE
2017-02-22,784,fina,holl,4,Chase,Facial threat,0,0,FALSE
2017-02-28,790,fina,wolo,1,Physical contact,Submission only,fina,wolo,FALSE
2017-03-01,791,gizm,cact,4,Physical contact,Chase,0,0,FALSE
2017-03-01,791,gats,fina,4,Physical contact,Physical contact,0,0,FALSE
2017-03-01,791,saff,coco,1,Facial threat,Submission only,saff,coco,FALSE
2017-03-06,796,holl,fina,4,Facial threat,Facial threat,0,0,FALSE
2017-03-15,805,saff,cura,1,Physical contact,Submission only,saff,cura,FALSE
2017-03-20,810,razo,funk,1,Facial threat,Submission only,razo,funk,FALSE
2017-03-22,812,fina,dori,4,Lunge,Facial threat,0,0,FALSE
2017-03-31,821,lucy,egon,4,Physical contact,Physical contact,0,0,FALSE
2017-03-31,821,lore,phoe,4,Lunge,Facial threat,0,0,FALSE
2017-04-27,848,razo,pean,4,Displace,Facial threat,0,0,FALSE
2017-04-27,848,razo,egon,4,Chase,Facial threat,0,0,FALSE
2017-05-02,853,magn,funk,2,Facial threat,Ignore,funk,magn,FALSE
2017-05-09,860,home,lucy,4,Facial threat,Facial threat,0,0,FALSE
2017-05-11,862,gizm,egon,2,Facial threat,Ignore,egon,gizm,FALSE
2017-05-24,875,holl,spoc,4,Facial threat,Facial threat,0,0,FALSE
2017-05-24,875,xavi,magn,4,Facial threat,Facial threat,0,0,FALSE
2017-05-24,875,xavi,magn,4,Facial threat,Facial threat,0,0,FALSE
2017-06-06,888,egon,panc,4,Displace,Vocal threat,0,0,FALSE
2017-06-06,888,panc,egon,4,Lunge,Facial threat,0,0,FALSE
2017-07-13,925,omni,cind,4,Facial threat,Facial threat,0,0,FALSE
2017-07-31,943,panc,egon,4,Chase,Displace,0,0,FALSE
2017-08-02,945,coco,balu,4,Physical contact,Physical contact,0,0,FALSE
2017-08-04,947,sarg,pino,4,Facial threat,Facial threat,0,0,FALSE
2017-08-31,974,octo,cind,4,Chase,Facial threat,0,0,FALSE
2017-09-04,978,cact,gizm,4,Charge,Facial threat,0,0,FALSE
2017-09-18,992,panc,dori,4,Charge,Charge,0,0,FALSE
2017-09-18,992,socr,coco,4,Physical contact,Physical contact,0,0,FALSE
2017-09-20,994,sash,oreo,4,Physical contact,Physical contact,0,0,FALSE
2017-09-27,1001,holl,funk,4,Facial threat,Facial threat,0,0,FALSE
2017-11-14,1049,dori,razo,2,Facial threat,Ignore,razo,dori,FALSE
2017-11-21,1056,fent,holl,4,Charge,Lunge,0,0,FALSE
2017-11-21,1056,razo,pean,4,Charge,Chase,0,0,FALSE
2017-11-24,1059,gats,flyn,4,Lunge,Charge,0,0,FALSE
2017-12-12,1077,omni,lore,4,Physical contact,Physical contact,0,0,FALSE
2015-01-05,5,fay,lucy,1,Displace,,fay,lucy,FALSE
2015-01-05,5,flyn,mori,1,Charge,,flyn,mori,FALSE
2015-01-05,5,flyn,max,1,Submission only,,flyn,max,FALSE
2015-01-05,5,sash,phoe,1,Displace,,sash,phoe,FALSE
2015-01-06,6,ging,carm,1,Charge,,ging,carm,FALSE
2015-01-06,6,lucy,holl,1,Charge,,lucy,holl,FALSE
2015-01-06,6,mori,max,1,Submission only,,mori,max,FALSE
2015-01-06,6,phoe,ging,1,Displace,,phoe,ging,FALSE
2015-01-06,6,sash,schm,1,Vocal threat,,sash,schm,FALSE
2015-01-06,6,sash,ocea,1,Facial threat,,sash,ocea,FALSE
2015-01-06,6,max,lego,2,Vocal threat,,lego,max,FALSE
2015-01-06,6,schm,max,3,Chase,,max,schm,TRUE
2015-01-07,7,carm,dori,1,Physical contact,,carm,dori,FALSE
2015-01-07,7,fay,wokb,1,Displace,,fay,wokb,FALSE
2015-01-07,7,lucy,phoe,1,Physical contact,,lucy,phoe,FALSE
2015-01-07,7,lucy,phoe,1,Physical contact,,lucy,phoe,FALSE
2015-01-07,7,sash,flyn,1,Vocal threat,,sash,flyn,FALSE
2015-01-07,7,sash,carm,1,Displace,,sash,carm,FALSE
2015-01-07,7,sash,phoe,1,Charge,,sash,phoe,FALSE
2015-01-07,7,sash,lego,1,Chase,,sash,lego,FALSE
2015-01-07,7,scar,tyle,1,Chase,,scar,tyle,FALSE
2015-01-07,7,scar,cind,1,Displace,,scar,cind,FALSE
2015-01-07,7,scar,coco,1,Displace,,scar,coco,FALSE
2015-01-07,7,bone,larr,2,Physical contact,,larr,bone,FALSE
2015-01-07,7,carm,coco,3,Physical contact,,coco,carm,TRUE
2015-01-08,8,bone,holl,1,Physical contact,,bone,holl,FALSE
2015-01-08,8,panc,flyn,1,Submission only,,panc,flyn,FALSE
2015-01-08,8,sash,cind,1,Physical contact,Submission only,sash,cind,FALSE
2015-01-08,8,sash,tyle,1,Charge,,sash,tyle,FALSE
2015-01-08,8,sash,flo,1,Displace,,sash,flo,FALSE
2015-01-09,9,carm,flo,1,Chase,,carm,flo,FALSE
2015-01-09,9,carm,flo,1,Displace,,carm,flo,FALSE
2015-01-09,9,dori,ging,1,Lunge,,dori,ging,FALSE
2015-01-09,9,fay,phoe,1,Charge,,fay,phoe,FALSE
2015-01-09,9,ocea,talu,1,Physical contact,,ocea,talu,FALSE
2015-01-09,9,phoe,oreo,1,Charge,,phoe,oreo,FALSE
2015-01-09,9,sash,coco,1,Displace,,sash,coco,FALSE
2015-01-09,9,sash,talu,1,Displace,,sash,talu,FALSE
2015-01-09,9,scar,ring,1,Charge,,scar,ring,FALSE
2015-01-09,9,scar,holl,1,Displace,,scar,holl,FALSE
2015-01-12,12,bone,lego,1,Charge,,bone,lego,FALSE
2015-01-12,12,sash,phoe,1,Physical contact,,sash,phoe,FALSE
2015-01-12,12,sash,flo,1,Displace,,sash,flo,FALSE
2015-01-12,12,scar,coco,1,Displace,,scar,coco,FALSE
2015-01-12,12,tyle,mori,1,Charge,,tyle,mori,FALSE
2015-01-12,12,flo,flyn,2,Charge,,flyn,flo,FALSE
2015-01-13,13,coco,carm,1,Charge,,coco,carm,FALSE
2015-01-13,13,flo,wokb,1,Displace,,flo,wokb,FALSE
2015-01-13,13,ging,carm,1,Displace,,ging,carm,FALSE
2015-01-13,13,max,lego,1,Displace,,max,lego,FALSE
2015-01-13,13,mori,max,1,Submission only,,mori,max,FALSE
2015-01-13,13,sash,coco,1,Charge,Submission only,sash,coco,FALSE
2015-01-13,13,sash,holl,1,Displace,,sash,holl,FALSE
2015-01-13,13,sash,carm,1,Displace,,sash,carm,FALSE
2015-01-13,13,scar,ging,1,Displace,,scar,ging,FALSE
2015-01-13,13,tyle,ring,1,Displace,,tyle,ring,FALSE
2015-01-14,14,gizm,fina,1,Physical contact,,gizm,fina,FALSE
2015-01-14,14,sash,carm,1,Displace,,sash,carm,FALSE
2015-01-14,14,spoc,coco,1,Charge,,spoc,coco,FALSE
2015-01-14,14,tyle,flyn,1,Charge,,tyle,flyn,FALSE
2015-01-15,15,max,mori,3,Charge,,mori,max,TRUE
2015-01-16,16,bone,gimp,1,Displace,,bone,gimp,FALSE
2015-01-16,16,fay,wokb,1,Displace,,fay,wokb,FALSE
2015-01-16,16,fay,ging,1,Charge,,fay,ging,FALSE
2015-01-16,16,flyn,lego,1,Chase,,flyn,lego,FALSE
2015-01-16,16,lucy,phoe,1,Supplant,Submission only,lucy,phoe,FALSE
2015-01-16,16,lucy,phoe,1,Displace,,lucy,phoe,FALSE
2015-01-16,16,lucy,flo,1,Displace,,lucy,flo,FALSE
2015-01-16,16,lucy,wokb,1,Charge,,lucy,wokb,FALSE
2015-01-16,16,mori,lego,1,Chase,,mori,lego,FALSE
2015-01-16,16,ocea,gimp,1,Physical contact,Mount,ocea,gimp,FALSE
2015-01-16,16,phoe,flo,1,Physical contact,,phoe,flo,FALSE
2015-01-16,16,sash,coco,1,Displace,,sash,coco,FALSE
2015-01-16,16,sash,holl,1,Displace,,sash,holl,FALSE
2015-01-16,16,sash,fay,1,Displace,,sash,fay,FALSE
2015-01-16,16,sash,lego,1,Chase,,sash,lego,FALSE
2015-01-16,16,sash,coco,1,Supplant,,sash,coco,FALSE
2015-01-16,16,sash,phoe,1,Displace,,sash,phoe,FALSE
2015-01-16,16,scar,coco,1,Displace,,scar,coco,FALSE
2015-01-16,16,wokb,ring,2,Chase,,ring,wokb,FALSE
2015-01-16,16,lucy,mori,3,Charge,,mori,lucy,TRUE
2015-01-19,19,coco,wokb,1,Displace,,coco,wokb,FALSE
2015-01-19,19,dori,wokb,1,Supplant,,dori,wokb,FALSE
2015-01-19,19,lucy,holl,1,Displace,,lucy,holl,FALSE
2015-01-19,19,sash,holl,1,Displace,Submission only,sash,holl,FALSE
2015-01-19,19,sash,mori,1,Charge,,sash,mori,FALSE
2015-01-19,19,sash,dori,1,Displace,,sash,dori,FALSE
2015-01-19,19,sash,coco,1,Physical contact,,sash,coco,FALSE
2015-01-19,19,wokb,flyn,1,Vocal threat,,wokb,flyn,FALSE
2015-01-19,19,wokb,lego,1,Charge,,wokb,lego,FALSE
2015-01-19,19,ocea,dori,2,Facial threat,,dori,ocea,FALSE
2015-01-20,20,carm,dori,1,Supplant,,carm,dori,FALSE
2015-01-20,20,carm,dori,1,Lunge,,carm,dori,FALSE
2015-01-20,20,larr,schm,1,Submission only,,larr,schm,FALSE
2015-01-20,20,sash,coco,1,Displace,,sash,coco,FALSE
2015-01-20,20,sash,lego,1,Vocal threat,,sash,lego,FALSE
2015-01-20,20,sash,carm,1,Displace,,sash,carm,FALSE
2015-01-20,20,sash,coco,1,Physical contact,,sash,coco,FALSE
2015-01-20,20,scar,coco,1,Charge,,scar,coco,FALSE
2015-01-20,20,scar,carm,1,Physical contact,,scar,carm,FALSE
2015-01-20,20,mori,lego,3,Lunge,,lego,mori,TRUE
2015-01-21,21,carm,flo,1,Lunge,,carm,flo,FALSE
2015-01-21,21,fay,saff,1,Facial threat,,fay,saff,FALSE
2015-01-21,21,flyn,mori,1,Vocal threat,,flyn,mori,FALSE
2015-01-21,21,holl,wokb,1,Lunge,,holl,wokb,FALSE
2015-01-21,21,lucy,oreo,1,Physical contact,,lucy,oreo,FALSE
2015-01-21,21,mori,max,1,Submission only,,mori,max,FALSE
2015-01-21,21,sash,fent,1,Lunge,,sash,fent,FALSE
2015-01-22,22,flyn,panc,1,Chase,,flyn,panc,FALSE
2015-01-22,22,lucy,flo,1,Displace,,lucy,flo,FALSE
2015-01-22,22,sash,holl,1,Displace,,sash,holl,FALSE
2015-01-22,22,sash,fay,1,Displace,,sash,fay,FALSE
2015-01-22,22,scar,coco,1,Displace,,scar,coco,FALSE
2015-01-22,22,dori,carm,2,Vocal threat,,carm,dori,FALSE
2015-01-22,22,carm,ging,2,Vocal threat,,ging,carm,FALSE
2015-01-22,22,flo,ocea,3,Lunge,,ocea,flo,TRUE
2015-01-23,23,dori,ging,1,Physical contact,,dori,ging,FALSE
2015-01-23,23,flo,ging,1,Physical contact,,flo,ging,FALSE
2015-01-23,23,ging,wokb,1,Chase,,ging,wokb,FALSE
2015-01-23,23,panc,tyle,1,Displace,,panc,tyle,FALSE
2015-01-23,23,phoe,wokb,1,Charge,,phoe,wokb,FALSE
2015-01-23,23,ring,lucy,1,Chase,,ring,lucy,FALSE
2015-01-23,23,saff,puck,1,Supplant,,saff,puck,FALSE
2015-01-26,26,bone,talu,1,Charge,,bone,talu,FALSE
2015-01-26,26,bone,flo,1,Displace,,bone,flo,FALSE
2015-01-26,26,fay,flo,1,Charge,Submission only,fay,flo,FALSE
2015-01-26,26,larr,panc,1,Displace,,larr,panc,FALSE
2015-01-26,26,lucy,talu,1,Charge,,lucy,talu,FALSE
2015-01-26,26,lucy,ging,1,Facial threat,,lucy,ging,FALSE
2015-01-26,26,lucy,carm,1,Physical contact,,lucy,carm,FALSE
2015-01-26,26,mori,panc,1,Chase,,mori,panc,FALSE
2015-01-26,26,panc,tyle,1,Displace,,panc,tyle,FALSE
2015-01-26,26,panc,tyle,1,Displace,,panc,tyle,FALSE
2015-01-26,26,sash,holl,1,Displace,,sash,holl,FALSE
2015-01-26,26,sash,coco,1,Physical contact,,sash,coco,FALSE
2015-01-26,26,scar,lego,1,Physical contact,,scar,lego,FALSE
2015-01-26,26,scar,coco,1,Displace,,scar,coco,FALSE
2015-01-26,26,talu,bone,1,Charge,,talu,bone,FALSE
2015-01-26,26,talu,ging,1,Charge,,talu,ging,FALSE
2015-01-26,26,tyle,ring,1,Vocal threat,,tyle,ring,FALSE
2015-01-26,26,tyle,ring,1,Lunge,,tyle,ring,FALSE
2015-01-26,26,tyle,flyn,1,Displace,,tyle,flyn,FALSE
2015-01-26,26,tyle,ring,1,Displace,,tyle,ring,FALSE
2015-01-27,27,bone,tyle,1,Vocal threat,,bone,tyle,FALSE
2015-01-27,27,carm,dori,1,Physical contact,,carm,dori,FALSE
2015-01-27,27,fay,wokb,1,Chase,,fay,wokb,FALSE
2015-01-27,27,fay,ocea,1,Displace,,fay,ocea,FALSE
2015-01-27,27,larr,panc,1,Submission only,,larr,panc,FALSE
2015-01-27,27,scar,ging,1,Lunge,,scar,ging,FALSE
2015-01-27,27,bone,larr,2,Vocal threat,,larr,bone,FALSE
2015-01-28,28,carm,dori,1,Charge,,carm,dori,FALSE
2015-01-28,28,dori,wokb,1,Facial threat,,dori,wokb,FALSE
2015-01-28,28,flyn,panc,1,Chase,,flyn,panc,FALSE
2015-01-28,28,flyn,panc,1,Chase,,flyn,panc,FALSE
2015-01-28,28,ging,carm,1,Chase,,ging,carm,FALSE
2015-01-28,28,holl,dori,1,Physical contact,,holl,dori,FALSE
2015-01-28,28,lucy,carm,1,Supplant,,lucy,carm,FALSE
2015-01-28,28,lucy,flo,1,Displace,,lucy,flo,FALSE
2015-01-28,28,panc,flo,1,Displace,,panc,flo,FALSE
2015-01-28,28,panc,flyn,1,Displace,,panc,flyn,FALSE
2015-01-28,28,panc,flyn,1,Displace,,panc,flyn,FALSE
2015-01-28,28,sash,holl,1,Displace,,sash,holl,FALSE
2015-01-28,28,sash,ging,1,Displace,,sash,ging,FALSE
2015-01-28,28,scar,holl,1,Displace,,scar,holl,FALSE
2015-01-29,29,coco,phoe,1,Displace,,coco,phoe,FALSE
2015-01-29,29,flyn,lego,1,Displace,,flyn,lego,FALSE
2015-01-29,29,flyn,flo,1,Supplant,,flyn,flo,FALSE
2015-01-29,29,gimp,holl,1,Physical contact,,gimp,holl,FALSE
2015-01-29,29,larr,flo,1,Physical contact,,larr,flo,FALSE
2015-01-29,29,mori,tyle,1,Displace,,mori,tyle,FALSE
2015-01-29,29,panc,gimp,1,Displace,,panc,gimp,FALSE
2015-01-29,29,sash,phoe,1,Displace,,sash,phoe,FALSE
2015-01-29,29,sash,max,1,Supplant,,sash,max,FALSE
2015-01-29,29,sash,ocea,1,Displace,,sash,ocea,FALSE
2015-01-29,29,sash,holl,1,Displace,,sash,holl,FALSE
2015-01-29,29,sash,larr,1,Displace,,sash,larr,FALSE
2015-01-29,29,sash,mori,1,Charge,,sash,mori,FALSE
2015-01-29,29,sash,dori,1,Displace,,sash,dori,FALSE
2015-01-29,29,schm,sash,2,Physical contact,,sash,schm,FALSE
2015-01-30,30,carm,dori,1,Physical contact,,carm,dori,FALSE
2015-01-30,30,fay,carm,1,Physical contact,,fay,carm,FALSE
2015-01-30,30,flo,ging,1,Charge,,flo,ging,FALSE
2015-01-30,30,ging,carm,1,Displace,,ging,carm,FALSE
2015-01-30,30,larr,lego,1,Displace,,larr,lego,FALSE
2015-01-30,30,larr,panc,1,Displace,,larr,panc,FALSE
2015-01-30,30,lucy,ocea,1,Physical contact,,lucy,ocea,FALSE
2015-01-30,30,sash,fina,1,Charge,,sash,fina,FALSE
2015-01-30,30,sash,oreo,1,Chase,,sash,oreo,FALSE
2015-01-30,30,sash,coco,1,Displace,,sash,coco,FALSE
2015-01-30,30,scar,ocea,1,Supplant,,scar,ocea,FALSE
2015-02-02,33,holl,ocea,1,Unknown,,holl,ocea,FALSE
2015-02-02,33,lucy,holl,1,Displace,,lucy,holl,FALSE
2015-02-02,33,mori,lego,1,Chase,,mori,lego,FALSE
2015-02-02,33,panc,ring,1,Vocal threat,,panc,ring,FALSE
2015-02-02,33,panc,sash,1,Displace,,panc,sash,FALSE
2015-02-02,33,mori,talu,2,Chase,,talu,mori,FALSE
2015-02-03,34,carm,wokb,1,Displace,,carm,wokb,FALSE
2015-02-03,34,gizm,hect,1,Physical contact,,gizm,hect,FALSE
2015-02-03,34,larr,dori,1,Displace,,larr,dori,FALSE
2015-02-03,34,max,flo,1,Displace,,max,flo,FALSE
2015-02-03,34,sash,fay,1,Supplant,,sash,fay,FALSE
2015-02-03,34,tyle,fay,1,Supplant,,tyle,fay,FALSE
2015-02-03,34,scar,tyle,3,Physical contact,,tyle,scar,TRUE
2015-02-03,34,ring,gimp,3,Facial threat,,gimp,ring,TRUE
2015-02-04,35,carm,dori,1,Displace,,carm,dori,FALSE
2015-02-04,35,coco,larr,1,Charge,,coco,larr,FALSE
2015-02-04,35,coco,oreo,1,Physical contact,,coco,oreo,FALSE
2015-02-04,35,dori,cind,1,Physical contact,,dori,cind,FALSE
2015-02-04,35,fay,flo,1,Chase,,fay,flo,FALSE
2015-02-04,35,flo,puck,1,Physical contact,,flo,puck,FALSE
2015-02-04,35,panc,max,1,Charge,,panc,max,FALSE
2015-02-04,35,panc,bone,1,Charge,,panc,bone,FALSE
2015-02-04,35,ring,talu,1,Submission only,,ring,talu,FALSE
2015-02-04,35,sash,phoe,1,Displace,,sash,phoe,FALSE
2015-02-05,36,fay,wokb,1,Chase,,fay,wokb,FALSE
2015-02-05,36,fay,ocea,1,Displace,,fay,ocea,FALSE
2015-02-05,36,fay,ocea,1,Lunge,,fay,ocea,FALSE
2015-02-05,36,mori,tyle,1,Displace,,mori,tyle,FALSE
2015-02-05,36,phoe,flo,1,Charge,,phoe,flo,FALSE
2015-02-05,36,phoe,ocea,1,Physical contact,,phoe,ocea,FALSE
2015-02-05,36,sash,lucy,1,Displace,,sash,lucy,FALSE
2015-02-05,36,sash,gimp,1,Lunge,,sash,gimp,FALSE
2015-02-05,36,tyle,puck,1,Lunge,,tyle,puck,FALSE
2015-02-05,36,ocea,talu,2,Physical contact,,talu,ocea,FALSE
2015-02-09,40,coco,fent,1,Physical contact,,coco,fent,FALSE
2015-02-09,40,flyn,flo,1,Displace,,flyn,flo,FALSE
2015-02-09,40,holl,ring,1,Chase,,holl,ring,FALSE
2015-02-09,40,larr,panc,1,Displace,,larr,panc,FALSE
2015-02-09,40,panc,ring,1,Displace,,panc,ring,FALSE
2015-02-09,40,panc,ring,1,Displace,,panc,ring,FALSE
2015-02-09,40,ring,ocea,1,Displace,,ring,ocea,FALSE
2015-02-09,40,ring,ocea,1,Charge,,ring,ocea,FALSE
2015-02-09,40,sash,holl,1,Displace,,sash,holl,FALSE
2015-02-09,40,tyle,flyn,1,Charge,,tyle,flyn,FALSE
2015-02-10,41,carm,flo,1,Displace,,carm,flo,FALSE
2015-02-10,41,dori,ging,1,Physical contact,,dori,ging,FALSE
2015-02-10,41,dori,ocea,1,Charge,,dori,ocea,FALSE
2015-02-10,41,flo,talu,1,Chase,,flo,talu,FALSE
2015-02-10,41,holl,dori,1,Displace,,holl,dori,FALSE
2015-02-10,41,larr,wokb,1,Chase,,larr,wokb,FALSE
2015-02-10,41,panc,fay,1,Displace,,panc,fay,FALSE
2015-02-10,41,panc,flo,1,Displace,,panc,flo,FALSE
2015-02-10,41,panc,lego,1,Displace,,panc,lego,FALSE
2015-02-10,41,ring,fay,1,Charge,,ring,fay,FALSE
2015-02-10,41,scar,holl,1,Displace,,scar,holl,FALSE
2015-02-10,41,wokb,flyn,1,Chase,,wokb,flyn,FALSE
2015-02-14,45,fay,phoe,1,Vocal threat,,fay,phoe,FALSE
2015-02-14,45,holl,ring,1,Lunge,,holl,ring,FALSE
2015-02-14,45,lucy,talu,1,Facial threat,,lucy,talu,FALSE
2015-02-14,45,lucy,oreo,1,Charge,,lucy,oreo,FALSE
2015-02-14,45,mori,schm,1,Displace,,mori,schm,FALSE
2015-02-14,45,ocea,lego,1,Chase,,ocea,lego,FALSE
2015-02-14,45,ring,oreo,1,Facial threat,,ring,oreo,FALSE
2015-02-14,45,sash,carm,1,Displace,,sash,carm,FALSE
2015-02-14,45,scar,ring,1,Chase,,scar,ring,FALSE
2015-02-14,45,ring,scar,2,Facial threat,,scar,ring,FALSE
2015-02-14,45,ocea,talu,2,Physical contact,,talu,ocea,FALSE
2015-02-16,47,carm,flo,1,Lunge,,carm,flo,FALSE
2015-02-16,47,max,flo,1,Vocal threat,,max,flo,FALSE
2015-02-16,47,phoe,dori,1,Chase,,phoe,dori,FALSE
2015-02-16,47,ring,carm,1,Displace,,ring,carm,FALSE
2015-02-16,47,sash,daen,1,Chase,Submission only,sash,daen,FALSE
2015-02-16,47,sash,ring,1,Chase,,sash,ring,FALSE
2015-02-16,47,sash,coco,1,Supplant,,sash,coco,FALSE
2015-02-16,47,scar,carm,1,Submission only,,scar,carm,FALSE
2015-02-16,47,talu,ocea,1,Displace,Submission only,talu,ocea,FALSE
2015-02-16,47,ocea,talu,2,Physical contact,Displace,talu,ocea,FALSE
2015-02-16,47,sash,lego,3,Chase,,lego,sash,TRUE
2015-02-17,48,bone,panc,1,Chase,,bone,panc,FALSE
2015-02-17,48,larr,ring,1,Lunge,,larr,ring,FALSE
2015-02-17,48,lucy,flo,1,Displace,,lucy,flo,FALSE
2015-02-17,48,lucy,holl,1,Physical contact,,lucy,holl,FALSE
2015-02-17,48,max,dori,1,Charge,,max,dori,FALSE
2015-02-17,48,panc,lego,1,Chase,Facial threat,panc,lego,FALSE
