giornata,data,ora,teamA,teamB,pt A,pt B,teamA_slug,teamB_slug
24° GIORNATA,DOMENICA 28 MARZO,Ore 20:45 ,Virtus Bologna,Fortitudo Lavoropiù Bologna,81,73,Virtus Bologna,Fortitudo Bologna
24° GIORNATA,LUNEDI 29 MARZO,Ore 20.30 ,Unahotels Reggio Emilia,Carpegna Prosciutto Pesaro,91,79,Emilia,Pesaro
25° GIORNATA,SABATO 03 APRILE,Ore 16.30 ,Dolomiti Energia Trento,Umana Reyer Venezia,90,84,Trento,Venezia
25° GIORNATA,SABATO 03 APRILE,Ore 17.00 ,Acqua S.Bernardo Cantù,Happy Casa Brindisi,71,93,Cantù,Brindisi
25° GIORNATA,SABATO 03 APRILE,Ore 18.00 ,Vanoli Cremona,Unahotels Reggio Emilia,90,71,Cremona,Emilia
25° GIORNATA,SABATO 03 APRILE,Ore 19.00 ,Fortitudo Lavoropiù Bologna,Germani Brescia,88,78,Fortitudo Bologna,Brescia
25° GIORNATA,SABATO 03 APRILE,Ore 20.45 ,Banco di Sardegna Sassari,Virtus Bologna,77,108,Sassari,Virtus Bologna
25° GIORNATA,LUNEDI’ 05 APRILE,Ore 18:15 ,A|X Armani Exchange Milano,Openjobmetis Varese,81,83,Milano,Varese
25° GIORNATA,LUNEDI’ 05 APRILE,Ore 18:16,Carpegna Prosciutto Pesaro,De’Longhi Treviso,89,97,Pesaro,Treviso
26° GIORNATA,SABATO 10 APRILE,Ore 20:00 ,Fortitudo Lavoropiù Bologna,Carpegna Prosciutto Pesaro,77,79,Fortitudo Bologna,Pesaro
26° GIORNATA,DOMENICA 11 APRILE,Ore 12:00 ,De’Longhi Treviso,Banco di Sardegna Sassari,89,85,Treviso,Sassari
26° GIORNATA,DOMENICA 11 APRILE,Ore 17:00 ,UnaHotels Reggio Emilia,Openjobmetis Varese,95,77,Emilia,Varese
26° GIORNATA,DOMENICA 11 APRILE,Ore 18:00 ,Umana Reyer Venezia,Germani Brescia,94,87,Venezia,Brescia
