giornata,data,ora,teamA,teamB,pt A,pt B,teamA_slug,teamB_slug
14° GIORNATA,DOMENICA 3 GENNAIO,Ore 20.45 ,Germani Brescia,Vanoli Cremona,85,89,Brescia,Cremona
14° GIORNATA,DOMENICA 3 GENNAIO,RINVIATA ,Allianz Trieste,Openjobmetis Varese,108,83,Trieste,Varese
15° GIORNATA,SABATO 9 GENNAIO,Ore 20.00 ,Dolomiti Energia Trento,Virtus Bologna,85,92,Trento,Virtus Bologna
15° GIORNATA,SABATO 9 GENNAIO,Ore 17.30 ,Fortitudo Lavoropiù Bologna,Allianz Trieste,69,82,Fortitudo Bologna,Trieste
15° GIORNATA,SABATO 9 GENNAIO,Ore 18.00 ,Carpegna Prosciutto Pesaro,Germani Brescia,98,88,Pesaro,Brescia
15° GIORNATA,SABATO 9 GENNAIO,Ore 19:00 ,Banco di Sardegna Sassari,Acqua S.Bernardo Cantù,98,92,Sassari,Cantù
15° GIORNATA,SABATO 9 GENNAIO,Ore 20:45 ,Umana Reyer Venezia,Unahotels Reggio Emilia,95,75,Venezia,Emilia
15° GIORNATA,MARTEDI’ 19 GENNAIO,Ore 17:00 ,Vanoli Cremona,A|X Armani Exchange Milano,81,83,Cremona,Milano
15° GIORNATA,MARTEDI’ 19 GENNAIO,Ore 17:00 ,Openjobmetis Varese,Happy Casa Brindisi,76,74,Varese,Brindisi
16° GIORNATA,DOMENICA 17 GENNAIO,Ore 12.00 ,A|X Armani Exchange Milano,Unahotels Reggio Emilia,102,73,Milano,Emilia
16° GIORNATA,DOMENICA 17 GENNAIO,Ore 15:00,Vanoli Cremona,Allianz Trieste,80,101,Cremona,Trieste
16° GIORNATA,DOMENICA 17 GENNAIO,Ore 17:00 ,Acqua S.Bernardo Cantù,Virtus Bologna,82,91,Cantù,Virtus Bologna
16° GIORNATA,DOMENICA 17 GENNAIO,Ore 17:15 ,Happy Casa Brindisi,Umana Reyer Venezia,77,89,Brindisi,Venezia
16° GIORNATA,DOMENICA 17 GENNAIO,Ore 19:00 ,Banco di Sardegna Sassari,Carpegna Prosciutto Pesaro,99,84,Sassari,Pesaro
16° GIORNATA,DOMENICA 17 GENNAIO,Ore 20:30 ,Dolomiti Energia Trento,De’Longhi Treviso,76,82,Trento,Treviso
16° GIORNATA,DOMENICA 17 GENNAIO,Ore 20:30 ,Germani Brescia,Openjobmetis Varese,98,83,Brescia,Varese
17° GIORNATA,SABATO 23 GENNAIO,Ore 19.00 ,Unahotels Reggio Emilia,Dolomiti Energia Trento,83,74,Emilia,Trento
17° GIORNATA,SABATO 23 GENNAIO,Ore 20.00 ,Virtus Bologna,Germani Brescia,89,90,Virtus Bologna,Brescia
17° GIORNATA,DOMENICA 24 GENNAIO,Ore 12.00 ,De’Longhi Treviso,A|X Armani Exchange Milano,77,82,Treviso,Milano
17° GIORNATA,DOMENICA 24 GENNAIO,Ore 16.00 ,Carpegna Prosciutto Pesaro,Acqua S.Bernardo Cantù,107,83,Pesaro,Cantù
17° GIORNATA,DOMENICA 24 GENNAIO,Ore 17.00 ,Umana Reyer Venezia,Vanoli Cremona,88,84,Venezia,Cremona
17° GIORNATA,DOMENICA 24 GENNAIO,Ore 19.00 ,Allianz Trieste,Banco di Sardegna Sassari,82,103,Trieste,Sassari
17° GIORNATA,DOMENICA 14 FEBBRAIO,Ore 16.00 ,Openjobmetis Varese,Fortitudo Lavoropiù Bologna,67,79,Varese,Fortitudo Bologna
18° GIORNATA,SABATO 30 GENNAIO,Ore 20.00 ,Vanoli Cremona,Virtus Bologna,75,88,Cremona,Virtus Bologna
18° GIORNATA,DOMENICA 31 GENNAIO,Ore 16.00 ,Acqua S.Bernardo Cantù,Openjobmetis Varese,97,82,Cantù,Varese
18° GIORNATA,DOMENICA 31 GENNAIO,Ore 17.00 ,A|X Armani Exchange Milano,Allianz Trieste,81,100,Milano,Trieste
18° GIORNATA,DOMENICA 31 GENNAIO,Ore 17.30 ,Dolomiti Energia Trento,Fortitudo Lavoropiù Bologna,64,78,Trento,Fortitudo Bologna
18° GIORNATA,DOMENICA 31 GENNAIO,Ore 18:00 ,Germani Brescia,De’Longhi Treviso,91,94,Brescia,Treviso
